"notation","title","description","id","title_en","description_en"
"II 2.2","Probleme selbst formulieren","","c6u","",""
"II 2.3","die Plausibilität von Ergebnissen überprüfen","","s4g","",""
"II 3","Mathematisch modellieren","Dazu gehört:","p7t","",""
"II 3.1","Modellierungen, die mehrere Schritte erfordern, vornehmen","","f4x","",""
"II 3.2","Ergebnisse einer Modellierung interpretieren und an der Ausgangssituation prüfen","","f9e","",""
"II 3.3","einem mathematischen Modell passende Situationen zuordnen","","v4v","",""
"II 4","Mathematische Darstellungen verwenden","Dazu gehört:","e7z","",""
"II 4.1","Beziehungen zwischen Darstellungsformen erkennen und zwischen den Darstellungsformen wechseln","","h2y","",""
"II 5","Mit symbolischen, formalen und technischen Elementen der Mathematik umgehen","Dazu gehört:","g2r","",""
"II 5.1","Lösungs- und Kontrollverfahren ausführen","","d6p","",""
"II 5.2","symbolische und formale Sprache in natürliche Sprache übersetzen und umgekehrt","","r5q","",""
"II 5.3","mit Variablen, Termen, Gleichungen, Funktionen, Tabellen und Diagrammen arbeiten","","p7f","",""
"II 5.4","mathematische Werkzeuge verständig auswählen und einsetzen","","u3y","",""
"II 6","Kommunizieren","Dazu gehört:","a4r","",""
"II 6.1","Überlegungen, Lösungswege bzw. Ergebnisse verständlich darstellen","","u9t","",""
"II 6.2","komplexe mathematikhaltige Texte, Grafiken und Abbildungen sinnentnehmend erfassen","","y2e","",""
"II 6.3","die Fachsprache adressatengerecht verwenden","","g9r","",""
"II 6.4","auf Äußerungen von anderen zu mathematischen Inhalten eingehen","","q4d","",""
"II 6.5","mit Fehlern konstruktiv umgehen","","p2h","",""
"III ","Verallgemeinern und Reflektieren","Dieser Bereich umfasst das Bearbeiten komplexer Gegebenheiten u. a. mit dem Ziel, zu eigenen Problemformulierungen, Lösungen, Begründungen, Folgerungen, Interpretationen oder Wertungen zu gelangen.","x6g","",""
"III 1","Mathematisch argumentieren","Dazu gehört:","e6a","",""
"III 1.1","komplexe Argumentationen erläutern oder entwickeln","","v9t","",""
"III 1.2","verschiedene Argumentationen bewerten","","c7p","",""
"III 1.3","Fragen stellen, die für die Mathematik charakteristisch sind und Vermutungen begründet äußern","","d5f","",""
"III 2","Probleme mathematisch lösen","Dazu gehört:","y9z","",""
"III 2.1","anspruchsvolle Probleme bearbeiten","","z5u","",""
"III 2.2","das Finden von Lösungsideen und die Lösungswege reflektieren","","q3y","",""
"III 3","Mathematisch modellieren","Dazu gehört:","r5d","",""
"III 3.1","komplexe oder unvertraute Situationen modellieren","","s7u","",""
"III 3.2","verwendete mathematische Modelle(wie Formeln, Gleichungen, Darstellungen von Zuordnungen, Zeichnungen, strukturierte Darstellungen, Ablaufpläne) reflektieren und kritisch beurteilen","","z7t","",""
"III 4","Mathematische Darstellungen verwenden","Dazu gehört:","f2r","",""
"III 4.1","eigene Darstellungen entwickeln","","c3s","",""
"III 4.2","verschiedene Formen der Darstellung zweckentsprechend beurteilen","","y5c","",""
"III 4.3","nicht vertraute Darstellungen lesen und ihre Aussagekraft beurteilen","","d9z","",""
"III 5","Mit symbolischen, formalen und technischen Elementen der Mathematik umgehen","Dazu gehört:","z3p","",""
"III 5.1","Lösungs- und Kontrollverfahren hinsichtlich ihrer Effizienz bewerten","","b9t","",""
"III 5.2","Möglichkeiten und Grenzen der Nutzung mathematischer Werkzeuge reflektieren","","g3u","",""
"III 6","Kommunizieren","Dazu gehört:","x9z","",""
"III 6.1","komplexe mathematische Sachverhalte mündlich und schriftlich präsentieren","","r5c","",""
"III 6.2","komplexe mathematische Texte sinnentnehmend erfassen","","p3q","",""
"III 6.3","Äußerungen von anderen zu mathematischen Inhalten bewerten","","e7e","",""
